Site_Code,Location,Date,Latitude,Longitude,nh,no23,din,tss,chl,sio2,tp,sal
C10,Delta,1977-06-22,37.67575,-121.265,NA,0.78,NA,79,142.03,20,0.44,0.8
C10,Delta,1977-07-06,37.67575,-121.265,NA,1.2,NA,63,111.15,21,0.29,0.8
C10,Delta,1977-07-21,37.67575,-121.265,0.08,0.82,0.9,166,314.93,15,0.27,0.9
C10,Delta,1977-08-08,37.67575,-121.265,0.04,1.3,1.34,164,302.58,10,0.23,0.8
C10,Delta,1977-08-22,37.67575,-121.265,0.02,1.2,1.22,106,370.5,16,0.44,0.8
C10,Delta,1977-09-01,37.67575,-121.265,0.2,0.73,0.93,110,209.95,16,0.35,0.9
C10,Delta,1977-09-20,37.67575,-121.265,0.37,1.3,1.67,85,111.15,24,0.26,0.9
C10,Delta,1977-10-05,37.67575,-121.265,0.04,1.4,1.44,98,237.74,22,0.46,0.9
C10,Delta,1977-10-17,37.67575,-121.265,0.61,1.3,1.91,38,200.69,28,0.32,0.9
C10,Delta,1977-11-15,37.67575,-121.265,0.47,4.6,5.07,NA,8.65,26,0.25,0.7
C10,Delta,1977-12-14,37.67575,-121.265,0.77,2,2.77,33,6.95,23,0.5,0.7
C10,Delta,1978-01-11,37.67575,-121.265,0.74,1.7,2.44,102,16.06,19,0.79,0.4
C10,Delta,1978-02-14,37.67575,-121.265,0.38,1.8,2.18,124,6.18,14,0.27,0.3
C10,Delta,1978-03-14,37.67575,-121.265,0.07,0.64,0.71,32,13.59,15,0.25,0.2
C10,Delta,1978-04-03,37.67575,-121.265,0.1,0.34,0.44,37,12.97,12,0.15,0.2
C10,Delta,1978-04-17,37.67575,-121.265,0.06,0.32,0.38,24,10.65,13,NA,0.1
C10,Delta,1978-05-01,37.67575,-121.265,0.08,0.27,0.35,22,2.16,14,0.2,0.1
C10,Delta,1978-05-16,37.67575,-121.265,0.05,0.2,0.25,50,14.36,13,NA,0.1
C10,Delta,1978-06-12,37.67575,-121.265,0.03,0.31,0.34,68,14.2,12,0.17,0.1
C10,Delta,1978-06-26,37.67575,-121.265,0.03,0.44,0.47,82,7.1,14,NA,0.2
C10,Delta,1978-07-10,37.67575,-121.265,NA,0.81,NA,71,28.41,17,0.22,0.3
C10,Delta,1978-07-24,37.67575,-121.265,0.04,1.2,1.24,80,36.43,18,NA,0.4
C10,Delta,1978-08-08,37.67575,-121.265,0.06,1.8,1.86,89,51.87,25,0.4,0.4
C10,Delta,1978-08-21,37.67575,-121.265,NA,1.7,NA,85,58.66,17,NA,0.4
C10,Delta,1978-09-11,37.67575,-121.265,0.12,0.92,1.04,86,27.79,16,0.33,0.2
C10,Delta,1978-09-25,37.67575,-121.265,0.04,0.48,0.52,66,54.34,13,NA,0.2
C10,Delta,1978-10-10,37.67575,-121.265,0.15,0.63,0.78,52,11.73,14,0.24,0.2
C10,Delta,1978-10-23,37.67575,-121.265,0.2,0.49,0.69,54,7.9,11,NA,0.1
C10,Delta,1978-11-20,37.67575,-121.265,0.3,0.68,0.98,30,8.27,12,0.61,0.3
C10,Delta,1978-12-04,37.67575,-121.265,0.24,0.64,0.88,33,12.04,11,0.19,0.3
C10,Delta,1979-01-16,37.67575,-121.265,0.24,0.91,1.15,92,9.27,12,0.32,0.2
C10,Delta,1979-02-15,37.67575,-121.265,NA,0.59,NA,51,4.02,11,0.15,0.2
C10,Delta,1979-03-05,37.67575,-121.265,0.12,0.45,0.57,43,7.72,10,0.18,0.2
C10,Delta,1979-03-19,37.67575,-121.265,0.07,0.62,0.69,72,6.18,13,NA,0.2
C10,Delta,1979-04-02,37.67575,-121.265,0.02,0.57,0.59,48,10.81,15,0.16,0.2
C10,Delta,1979-04-17,37.67575,-121.265,0.3,1.3,1.6,59,28.1,17,NA,0.5
C10,Delta,1979-05-01,37.67575,-121.265,0.13,1.6,1.73,82,31.13,20,0.44,0.4
C10,Delta,1979-05-21,37.67575,-121.265,0.05,0.82,0.87,69,45.08,21,NA,0.3
C10,Delta,1979-06-04,37.67575,-121.265,0.22,0.79,1.01,104,33.97,16,0.29,0.2
C10,Delta,1979-06-18,37.67575,-121.265,0.12,1.1,1.22,90,40.14,18,NA,0.3
C10,Delta,1979-07-02,37.67575,-121.265,NA,1.4,NA,100,79.86,20,0.38,0.4
C10,Delta,1979-07-16,37.67575,-121.265,0.06,1.3,1.36,121,NA,22,NA,0.4
C10,Delta,1979-08-13,37.67575,-121.265,0.05,1.3,1.35,91,47.43,19,0.39,0.4
C10,Delta,1979-08-27,37.67575,-121.265,0.19,1.4,1.59,88,NA,19,NA,0.3
C10,Delta,1979-09-11,37.67575,-121.265,0.16,1.3,1.46,57,29.49,20,0.34,0.3
C10,Delta,1979-09-24,37.67575,-121.265,0.12,0.97,1.09,63,13.44,18,NA,0.2
C10,Delta,1979-10-09,37.67575,-121.265,0.1,0.83,0.93,48,9.64,16,0.24,0.2
C10,Delta,1979-10-22,37.67575,-121.265,0.1,0.71,0.81,38,NA,14,NA,0.3
C10,Delta,1979-11-26,37.67575,-121.265,0.22,0.87,1.09,30,5.72,16,0.23,0.3
C10,Delta,1979-12-05,37.67575,-121.265,0.28,0.92,1.2,32,8.65,15,0.22,0.4
C10,Delta,1980-02-06,37.67575,-121.265,0.06,0.36,0.42,21,2.78,11,0.11,0.2
C10,Delta,1980-03-10,37.67575,-121.265,0.03,0.3,0.33,19,13.13,11,0.13,0.1
C10,Delta,1980-03-24,37.67575,-121.265,0.01,0.19,0.2,26,12.97,10,NA,0.2
C10,Delta,1980-04-07,37.67575,-121.265,0.07,0.46,0.53,33,9.42,12,0.14,0.2
C10,Delta,1980-04-21,37.67575,-121.265,0.02,0.27,0.29,28,17.6,11,NA,0.2
C10,Delta,1980-05-05,37.67575,-121.265,0.01,0.32,0.33,30,14.21,13,0.13,0.1
C10,Delta,1980-05-19,37.67575,-121.265,0.07,0.16,0.23,28,23.01,9.9,NA,0.1
C10,Delta,1980-06-03,37.67575,-121.265,0.02,0.32,0.34,36,14.36,13,0.14,0.1
C10,Delta,1980-06-17,37.67575,-121.265,0.01,0.71,0.72,43,29.18,14,NA,0.2
C10,Delta,1980-07-01,37.67575,-121.265,0.1,0.74,0.84,66,NA,13,0.21,0.2
C10,Delta,1980-07-15,37.67575,-121.265,0.1,1,1.1,71,5.07,19,NA,0.2
C10,Delta,1980-08-04,37.67575,-121.265,0.21,1.7,1.91,86,39.28,19,0.34,0.4
C10,Delta,1980-08-18,37.67575,-121.265,0.03,1.6,1.63,65,42,19,NA,0.4
C10,Delta,1980-09-02,37.67575,-121.265,0.07,1.3,1.37,70,25.08,16,0.24,0.3
C10,Delta,1980-09-15,37.67575,-121.265,0.03,0.62,0.65,38,8.53,13,NA,0.1
C10,Delta,1980-10-14,37.67575,-121.265,0.1,0.65,0.75,48,NA,13,0.16,0.2
C10,Delta,1980-10-27,37.67575,-121.265,0.08,0.75,0.83,27,1.61,12,NA,0.2
C10,Delta,1980-11-12,37.67575,-121.265,0.18,0.98,1.16,34,6.06,15,0.22,0.3
C10,Delta,1980-12-10,37.67575,-121.265,0.19,0.89,1.08,15,3.34,14,0.16,0.4
C10,Delta,1981-01-08,37.67575,-121.265,0.13,0.66,0.79,24,NA,10,0.12,0.2
C10,Delta,1981-02-24,37.67575,-121.265,0.2,2.1,2.3,32,6.3,18,0.24,0.8
C10,Delta,1981-03-11,37.67575,-121.265,0.15,1.8,1.95,65,10.26,16,0.31,0.6
C10,Delta,1981-03-24,37.67575,-121.265,0.15,1.3,1.45,86,10.38,14,0.35,0.4
C10,Delta,1981-04-09,37.67575,-121.265,0.04,1.8,1.84,75,38.29,18,0.38,0.6
C10,Delta,1981-04-27,37.67575,-121.265,0.06,1.2,1.26,61,17.91,16,NA,0.3
C10,Delta,1981-05-11,37.67575,-121.265,0.02,1.3,1.32,63,30.11,16,0.26,0.3
C10,Delta,1981-05-26,37.67575,-121.265,0.02,1.5,1.52,88,40.14,18,0.29,0.4
C10,Delta,1981-06-08,37.67575,-121.265,0.01,1.3,1.31,91,52.03,20,0.35,0.4
C10,Delta,1981-06-23,37.67575,-121.265,0.01,1,1.01,90,36.28,19,NA,0.3
C10,Delta,1981-07-06,37.67575,-121.265,0.01,1.3,1.31,116,22.08,16,0.3,0.3
C10,Delta,1981-07-21,37.67575,-121.265,0.1,1.7,1.8,101,49.87,19,NA,0.4
C10,Delta,1981-08-05,37.67575,-121.265,0.12,1.8,1.92,92,18.38,19,0.4,0.5
C10,Delta,1981-08-18,37.67575,-121.265,0.06,1.5,1.56,59,NA,20,NA,0.4
C10,Delta,1981-09-01,37.67575,-121.265,0.04,1.4,1.44,66,28.87,18,0.29,0.4
C10,Delta,1981-09-15,37.67575,-121.265,0.1,1.5,1.6,60,20.85,17,NA,0.4
C10,Delta,1981-10-05,37.67575,-121.265,0.07,1.4,1.47,55,17.45,23,0.29,0.3
C10,Delta,1981-10-19,37.67575,-121.265,0.25,1.6,1.85,47,9.58,19,NA,0.4
C10,Delta,1981-11-16,37.67575,-121.265,0.75,1.4,2.15,67,16.68,19,0.58,0.5
C10,Delta,1981-12-14,37.67575,-121.265,0.47,1.6,2.07,44,4.64,20,0.34,0.5
C10,Delta,1982-01-27,37.67575,-121.265,0.31,1.2,1.51,49,3.09,19,0.27,0.6
C10,Delta,1982-02-10,37.67575,-121.265,0.16,0.76,0.92,41,3.4,7.3,0.19,0.4
C10,Delta,1982-03-01,37.67575,-121.265,0.09,0.52,0.61,27,5.56,11,0.13,0.2
C10,Delta,1982-03-15,37.67575,-121.265,0.12,0.66,0.78,28,5.87,11,NA,0.2
C10,Delta,1982-04-13,37.67575,-121.265,0.09,0.27,0.36,15,9.26,12,0.16,0.1
C10,Delta,1982-05-17,37.67575,-121.265,0.06,0.21,0.27,13,6.49,9.8,0.15,0.1
C10,Delta,1982-06-14,37.67575,-121.265,0.11,0.62,0.73,69,12.04,14,0.19,0.2
C10,Delta,1982-06-28,37.67575,-121.265,0.04,0.51,0.55,47,18.22,12,0.15,0.1
C10,Delta,1982-07-12,37.67575,-121.265,0.08,0.86,0.94,74,20.22,15,0.22,0.2
C10,Delta,1982-07-26,37.67575,-121.265,0.07,0.91,0.98,72,15.13,14,NA,0.2
C10,Delta,1982-08-09,37.67575,-121.265,0.11,1.2,1.31,59,16.83,16,0.23,0.2
C10,Delta,1982-08-25,37.67575,-121.265,0.08,1,1.08,64,8.65,14,NA,0.2
C10,Delta,1982-09-07,37.67575,-121.265,0.05,0.75,0.8,32,10.96,12,0.18,0.2
C10,Delta,1982-09-20,37.67575,-121.265,0.05,0.47,0.52,27,4.17,12,NA,0.1
C10,Delta,1982-10-05,37.67575,-121.265,0.04,0.33,0.37,22,3.55,11,0.1,0.1
C10,Delta,1982-10-19,37.67575,-121.265,0.08,0.45,0.53,33,4.48,11,NA,0.1
C10,Delta,1982-11-04,37.67575,-121.265,0.12,0.34,0.46,22,3.86,12,0.13,0.1
C10,Delta,1982-12-02,37.67575,-121.265,0.17,0.45,0.62,74,8.8,12,0.28,0.1
C10,Delta,1983-01-03,37.67575,-121.265,0.03,0.26,0.29,14,1.7,12,0.1,0.1
C10,Delta,1983-02-03,37.67575,-121.265,0.12,0.41,0.53,45,1.54,14,0.16,0.2
C10,Delta,1983-03-21,37.67575,-121.265,0.04,0.38,0.42,32,3.71,14,0.15,0.2
C10,Delta,1983-05-02,37.67575,-121.265,0.02,0.28,0.3,19,9.73,12,0.1,0.1
C10,Delta,1983-06-14,37.67575,-121.265,0.02,0.16,0.18,43,6.33,9.4,0.15,0.1
C10,Delta,1983-07-14,37.67575,-121.265,0.03,0.18,0.21,46,4.32,8.6,0.1,0.1
C10,Delta,1983-08-15,37.67575,-121.265,0.07,0.78,0.85,76,8.18,13,0.16,0.2
C10,Delta,1983-09-26,37.67575,-121.265,0.05,0.44,0.49,34,2.93,10,0.11,0.1
C10,Delta,1983-10-11,37.67575,-121.265,0.03,0.31,0.34,37,5.71,9.1,0.1,0.1
C10,Delta,1983-11-07,37.67575,-121.265,0.18,0.89,1.07,54,6.79,13,0.19,0.2
C10,Delta,1983-12-07,37.67575,-121.265,0.08,0.48,0.56,27,4.01,11,0.1,0.1
C10,Delta,1984-01-23,37.67575,-121.265,0.06,0.36,0.42,24,5.4,12,0.09,0.1
C10,Delta,1984-02-07,37.67575,-121.265,0.07,0.77,0.84,28,4.79,12,0.11,0.2
C10,Delta,1984-03-08,37.67575,-121.265,0.12,0.74,0.86,19,6.79,16,0.12,0.2
C10,Delta,1984-04-09,37.67575,-121.265,0.04,1.6,1.64,46,19.3,16,0.22,0.4
C10,Delta,1984-05-07,37.67575,-121.265,0.1,1.4,1.5,44,37.67,16,0.24,0.3
C10,Delta,1984-06-04,37.67575,-121.265,0.06,1.5,1.56,76,31.03,16,0.28,0.3
C10,Delta,1984-07-05,37.67575,-121.265,0.15,1.9,2.05,89,43.53,19,0.34,0.3
C10,Delta,1984-07-17,37.67575,-121.265,0.08,1.7,1.78,94,32.73,NA,NA,0.3
C10,Delta,1984-08-02,37.67575,-121.265,0.11,1.9,2.01,89,25.01,18,0.32,0.4
C10,Delta,1984-08-16,37.67575,-121.265,0.06,1.7,1.76,92,25.47,NA,NA,0.3
C10,Delta,1984-09-13,37.67575,-121.265,0.07,1.2,1.27,56,18.06,16,0.27,0.2
C10,Delta,1984-09-27,37.67575,-121.265,0.03,1.3,1.33,48,23.93,15,NA,0.4
C10,Delta,1984-10-15,37.67575,-121.265,0.07,0.99,1.06,41,8.49,13,0.2,0.1
C10,Delta,1984-11-27,37.67575,-121.265,0.29,1,1.29,33,5.87,12,0.29,0.3
C10,Delta,1984-12-12,37.67575,-121.265,0.16,0.88,1.04,38,2.78,12,0.19,0.2
C10,Delta,1985-01-09,37.67575,-121.265,0.18,0.93,1.11,27,2.47,12,0.16,0.3
C10,Delta,1985-02-11,37.67575,-121.265,0.36,1.4,1.76,19,10.03,13,0.26,0.5
C10,Delta,1985-03-12,37.67575,-121.265,0.14,2,2.14,41,15.59,12,0.26,0.5
C10,Delta,1985-03-28,37.67575,-121.265,0.64,2.5,3.14,40,19.45,15,NA,0.5
C10,Delta,1985-04-11,37.67575,-121.265,0.14,2,2.14,47,25.47,15,0.3,0.5
C10,Delta,1985-04-25,37.67575,-121.265,0.25,1.8,2.05,70,4.94,16,NA,0.4
C10,Delta,1985-05-09,37.67575,-121.265,0.05,0.35,0.4,66,15.13,15,0.26,0.4
C10,Delta,1985-05-23,37.67575,-121.265,0.07,2,2.07,85,19.45,16,NA,NA
C10,Delta,1985-06-10,37.67575,-121.265,0.01,1.9,1.91,100,43.38,16,0.35,0.4
C10,Delta,1985-06-24,37.67575,-121.265,0.02,1.6,1.62,104,55.42,15,NA,0.3
C10,Delta,1985-07-09,37.67575,-121.265,0.08,1.4,1.48,78,16.52,14,0.25,0.3
C10,Delta,1985-07-22,37.67575,-121.265,0.06,1.2,1.26,81,27.32,NA,NA,0.3
C10,Delta,1985-08-06,37.67575,-121.265,0.09,1.3,1.39,57,10.19,14,0.21,0.3
C10,Delta,1985-08-21,37.67575,-121.265,0.06,1.2,1.26,56,8.8,17,NA,0.3
C10,Delta,1985-09-03,37.67575,-121.265,0.08,1.8,1.88,94,19.3,19,0.32,0.4
C10,Delta,1985-09-17,37.67575,-121.265,0.07,1.6,1.67,62,18.53,18,NA,0.4
C10,Delta,1985-10-03,37.67575,-121.265,0.08,1.4,1.48,51,12.04,18,0.27,0.3
C10,Delta,1985-10-17,37.67575,-121.265,0.17,1.5,1.67,23,4.63,17,NA,0.3
C10,Delta,1985-11-20,37.67575,-121.265,0.43,1.6,2.03,22,19.3,19,0.31,0.5
C10,Delta,1985-12-03,37.67575,-121.265,0.49,1.6,2.09,46,9.26,15,0.42,0.4
C10,Delta,1986-01-14,37.67575,-121.265,0.46,2.1,2.56,26,3.71,17,0.36,0.7
C10,Delta,1986-02-12,37.67575,-121.265,0.26,1.9,2.16,36,5.56,16,0.52,0.4
C10,Delta,1986-03-17,37.67575,-121.265,0.13,0.31,0.44,52,4.48,11,0.23,0.1
C10,Delta,1986-04-15,37.67575,-121.265,0.04,0.23,0.27,11,7.56,15,0.11,0.1
C10,Delta,1986-05-15,37.67575,-121.265,0.05,0.46,0.51,53,9.42,11,0.18,0.1
C10,Delta,1986-06-02,37.67575,-121.265,0.03,0.46,0.49,70,14.36,10,0.17,0.1
C10,Delta,1986-06-12,37.67575,-121.265,0.04,0.59,0.63,78,6.95,11,0.17,0.1
C10,Delta,1986-07-14,37.67575,-121.265,0.02,1.6,1.62,110,41.84,16,0.31,0.3
C10,Delta,1986-07-28,37.67575,-121.265,0.02,1.7,1.72,NA,16.36,NA,0.29,0.3
C10,Delta,1986-08-12,37.67575,-121.265,0.04,1.4,1.44,94,15.13,14,0.24,0.3
C10,Delta,1986-08-25,37.67575,-121.265,0.06,1.3,1.36,66,15.9,15,NA,0.3
C10,Delta,1986-09-08,37.67575,-121.265,0.08,1,1.08,42,11.89,15,0.22,0.2
C10,Delta,1986-09-22,37.67575,-121.265,0.05,0.83,0.88,38,6.79,12,NA,0.2
C10,Delta,1986-10-21,37.67575,-121.265,0.03,0.85,0.88,37,5.71,13,0.14,0.2
C10,Delta,1986-11-20,37.67575,-121.265,0.06,1.9,1.96,22,5.56,14,0.15,0.3
C10,Delta,1986-12-08,37.67575,-121.265,0.08,1.3,1.38,16,2.62,14,0.11,0.4
C10,Delta,1987-01-05,37.67575,-121.265,0.31,1.7,2.01,17,1.08,17,0.27,0.4
C10,Delta,1987-02-05,37.67575,-121.265,0.4,1.9,2.3,28,5.4,15,0.33,0.5
C10,Delta,1987-03-05,37.67575,-121.265,0.16,2,2.16,32,6.18,13,0.24,0.5
C10,Delta,1987-04-06,37.67575,-121.265,0.09,1.5,1.59,64,9.26,12,0.26,0.5
C10,Delta,1987-04-20,37.67575,-121.265,0.02,1.2,1.22,41,10.19,13,NA,0.3
C10,Delta,1987-05-05,37.67575,-121.265,NA,1.6,NA,79,28.71,13,0.26,0.4
C10,Delta,1987-05-18,37.67575,-121.265,NA,1.6,NA,82,NA,14,NA,0.4
C10,Delta,1987-06-02,37.67575,-121.265,NA,2.4,NA,76,40.6,14,0.27,0.4
C10,Delta,1987-06-16,37.67575,-121.265,NA,1.7,NA,82,26.24,14,NA,0.4
C10,Delta,1987-07-01,37.67575,-121.265,0.03,1.9,1.93,118,20.07,16,0.31,0.4
C10,Delta,1987-07-16,37.67575,-121.265,0.01,1.7,1.71,121,30.26,16,NA,0.4
C10,Delta,1987-08-04,37.67575,-121.265,0.01,2.1,2.11,101,37.67,17,0.3,0.4
C10,Delta,1987-08-13,37.67575,-121.265,0.01,1.9,1.91,108,20.53,16,NA,0.4
C10,Delta,1987-09-02,37.67575,-121.265,0.01,1.6,1.61,70,39.37,17,0.32,0.4
C10,Delta,1987-09-16,37.67575,-121.265,0.09,1.7,1.79,52,21.3,17,NA,0.4
C10,Delta,1987-10-14,37.67575,-121.265,0.06,1.77,1.83,38,16.06,19,0.28,0.4
C10,Delta,1987-10-28,37.67575,-121.265,0.05,1.4,1.45,61,NA,19,NA,0.5
C10,Delta,1987-11-02,37.67575,-121.265,0.06,1.6,1.66,41,6.79,17,0.29,0.4
C10,Delta,1987-11-16,37.67575,-121.265,0.11,1.6,1.71,32,2.47,17,0.22,0.6
C10,Delta,1987-12-02,37.67575,-121.265,0.09,1.6,1.69,36,8.18,17,0.22,0.6
C10,Delta,1988-01-12,37.67575,-121.265,0.22,2.6,2.82,25,7.87,17,0.35,0.8
C10,Delta,1988-02-24,37.67575,-121.265,0.13,3.9,4.03,38,5.87,21,0.34,0.9
C10,Delta,1988-03-11,37.67575,-121.265,0.06,2.5,2.56,50,7.26,17,0.25,0.6
C10,Delta,1988-03-25,37.67575,-121.265,0.04,1.7,1.74,54,11.58,15,NA,0.5
C10,Delta,1988-04-08,37.67575,-121.265,0.02,1.4,1.42,44,14.2,15,0.2,0.5
C10,Delta,1988-04-22,37.67575,-121.265,0.08,2,2.08,77,9.91,18,NA,0.5
C10,Delta,1988-05-06,37.67575,-121.265,0.04,1.7,1.74,48,14.67,17,0.24,0.5
C10,Delta,1988-05-24,37.67575,-121.265,0.01,0.87,0.88,67,25.78,16,NA,0.4
C10,Delta,1988-06-07,37.67575,-121.265,0.02,1.6,1.62,113,16.83,17,0.34,0.5
C10,Delta,1988-06-21,37.67575,-121.265,0.01,1.8,1.81,87,27.32,15,NA,0.4
C10,Delta,1988-07-06,37.67575,-121.265,0.04,1.9,1.94,148,18.76,17,0.37,0.5
C10,Delta,1988-07-19,37.67575,-121.265,0.02,2.1,2.12,104,11.27,15,NA,0.4
C10,Delta,1988-08-01,37.67575,-121.265,0.01,1.6,1.61,115,60.21,16,0.34,0.5
C10,Delta,1988-08-16,37.67575,-121.265,NA,1.8,NA,114,25.16,18,NA,0.5
C10,Delta,1988-09-02,37.67575,-121.265,0.01,1.3,1.31,82,20.69,17,0.23,0.4
C10,Delta,1988-09-16,37.67575,-121.265,0.01,1.3,1.31,56,19.1,17,NA,0.4
C10,Delta,1988-10-04,37.67575,-121.265,NA,1.2,NA,40,41.68,16,0.2,0.5
C10,Delta,1988-10-18,37.67575,-121.265,NA,1.1,NA,52,27.63,18,0.21,0.5
C10,Delta,1988-11-02,37.67575,-121.265,0.09,1.3,1.39,37,11.27,19,0.24,0.5
C10,Delta,1988-12-02,37.67575,-121.265,0.34,2,2.34,30,9.73,18,0.39,0.6
C10,Delta,1989-01-13,37.67575,-121.265,0.3,2.1,2.4,30,7.56,18,0.33,0.9
C10,Delta,1989-02-02,37.67575,-121.265,0.84,3.2,4.04,32,7.41,17,0.42,0.9
C10,Delta,1989-03-28,37.67575,-121.265,0.09,1.9,1.99,44,16.52,16,0.26,0.5
C10,Delta,1989-04-13,37.67575,-121.265,0.02,1.5,1.52,74,24.24,15,0.29,0.4
C10,Delta,1989-04-26,37.67575,-121.265,0.08,1.4,1.48,113,15.44,16,NA,0.5
C10,Delta,1989-05-10,37.67575,-121.265,0.04,1.5,1.54,88,10.33,15,0.28,0.4
C10,Delta,1989-05-25,37.67575,-121.265,0.01,1,1.01,68,17.29,15,NA,0.4
C10,Delta,1989-06-09,37.67575,-121.265,0.02,1.4,1.42,80,12.35,16,0.23,0.4
C10,Delta,1989-06-27,37.67575,-121.265,0.005,1.8,1.805,142,33.96,15,NA,0.4
C10,Delta,1989-07-11,37.67575,-121.265,0.08,1.9,1.98,112,29.79,15,0.34,0.4
C10,Delta,1989-07-24,37.67575,-121.265,0.18,2,2.18,166,NA,17,NA,0.4
C10,Delta,1989-07-25,37.67575,-121.265,NA,NA,NA,NA,54.19,NA,NA,NA
C10,Delta,1989-08-09,37.67575,-121.265,0.06,0.3,0.36,157,28.25,20,0.44,0.5
C10,Delta,1989-08-23,37.67575,-121.265,0.03,1.8,1.83,166,34.89,18,NA,0.5
C10,Delta,1989-09-06,37.67575,-121.265,0.005,1.1,1.105,104,59.9,17,0.36,0.5
C10,Delta,1989-09-20,37.67575,-121.265,0.07,1.2,1.27,93,11.73,17,NA,0.5
C10,Delta,1989-10-04,37.67575,-121.265,0.09,2,2.09,72,11.73,19,0.3,0.5
C10,Delta,1989-10-19,37.67575,-121.265,0.12,0.97,1.09,57,8.49,17,NA,0.4
C10,Delta,1989-11-07,37.67575,-121.265,0.06,1.3,1.36,61,3.71,18,0.2,0.6
C10,Delta,1989-12-07,37.67575,-121.265,0.19,2,2.19,62,2.93,17,0.34,0.6
C10,Delta,1990-01-17,37.67575,-121.265,0.36,1.9,2.26,92,10.5,17,0.49,0.9
C10,Delta,1990-02-21,37.67575,-121.265,0.4,3.3,3.7,118,16.06,15,0.37,0.8
C10,Delta,1990-03-20,37.67575,-121.265,0.08,2,2.08,55,11.27,16,0.27,0.5
C10,Delta,1990-04-05,37.67575,-121.265,0.06,1.7,1.76,42,20.22,16,0.26,0.4
C10,Delta,1990-04-16,37.67575,-121.265,0.005,1.8,1.805,84,34.89,16,0.34,0.5
C10,Delta,1990-05-02,37.67575,-121.265,0.06,0.31,0.37,103,18.92,16,0.07,0.4
C10,Delta,1990-05-29,37.67575,-121.265,0.5,1.9,2.4,259,17.14,14,NA,0.4
C10,Delta,1990-06-14,37.67575,-121.265,0.005,0.94,0.945,107,61.86,13,0.28,0.4
C10,Delta,1990-06-28,37.67575,-121.265,0.005,1.5,1.505,120,63.6,14,NA,0.4
C10,Delta,1990-07-12,37.67575,-121.265,0.005,2,2.005,156,70.55,15,0.37,0.5
C10,Delta,1990-07-26,37.67575,-121.265,0.005,1.7,1.705,154,42.44,16,NA,0.4
C10,Delta,1990-08-10,37.67575,-121.265,0.005,1.5,1.505,104,27.05,16,0.29,0.4
